,User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
22,U00023,46,Other,Chennai,Samsung,Android,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,Social Media
23,U00024,16,Female,Hyderabad,Vivo,Android,1.4,25.5,222.0,141,1.6,1119,2.8,0.4,1118,Gaming
24,U00025,29,Female,Bangalore,Realme,Android,7.0,41.7,51.0,130,1.4,2604,3.5,1.6,1154,Education
25,U00026,36,Male,Hyderabad,Vivo,Android,5.6,47.4,155.4,123,5.9,1886,2.3,3.0,955,Work
26,U00027,15,Male,Delhi,Vivo,Android,9.2,42.7,230.9,180,0.5,4611,1.0,2.5,210,Gaming
27,U00028,41,Other,Jaipur,Realme,Android,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,Education
28,U00029,51,Female,Kolkata,Vivo,Android,10.7,45.1,94.0,127,3.5,2293,6.7,5.0,333,Education
29,U00030,45,Female,Hyderabad,Realme,Android,6.3,34.5,244.3,125,5.0,1647,5.9,0.2,1541,Entertainment
30,U00031,39,Female,Jaipur,Motorola,Android,4.0,9.4,194.2,32,1.5,8314,6.7,3.5,447,Entertainment
31,U00032,40,Female,Lucknow,OnePlus,Android,8.4,25.7,262.8,174,1.3,3010,4.9,3.0,419,Education
32,U00033,28,Female,Chennai,Xiaomi,Android,5.3,16.8,264.9,84,1.3,9222,7.2,3.0,1699,Social Media
33,U00034,23,Female,Chennai,Motorola,Android,11.4,48.4,216.8,98,3.2,5026,2.7,4.9,1079,Gaming
34,U00035,57,Male,Delhi,Vivo,Android,4.1,31.2,61.5,149,5.1,386,3.9,1.0,1935,Social Media
35,U00036,23,Female,Ahmedabad,Vivo,Android,10.7,29.0,9.0,175,2.9,633,6.4,0.0,1345,Social Media
36,U00037,56,Other,Kolkata,Nokia,Android,9.4,42.1,246.7,113,4.9,498,0.9,4.3,982,Work
37,U00038,20,Other,Chennai,Samsung,Android,11.9,45.5,195.8,150,4.1,479,5.6,1.7,169,Education
38,U00039,22,Other,Kolkata,Google Pixel,Android,1.6,34.1,6.0,153,5.8,5175,5.7,2.2,805,Work
39,U00040,19,Male,Kolkata,Apple,iOS,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,647,Education
40,U00041,49,Other,Lucknow,Samsung,Android,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,1192,Social Media
41,U00042,54,Male,Ahmedabad,Vivo,Android,2.2,22.0,30.8,156,1.8,8307,1.1,3.0,1788,Social Media
42,U00043,40,Male,Bangalore,Vivo,Android,2.5,10.6,219.1,113,1.8,238,0.9,2.2,1924,Work
43,U00044,52,Female,Kolkata,Xiaomi,Android,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,1382,Social Media
44,U00045,42,Other,Mumbai,Google Pixel,Android,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,322,Education
45,U00046,23,Other,Hyderabad,Samsung,Android,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,314,Entertainment
46,U00047,51,Other,Mumbai,Samsung,Android,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,1319,Education
47,U00048,19,Male,Bangalore,Realme,Android,3.1,24.8,82.1,75,3.9,1396,2.0,1.6,1245,Social Media
48,U00049,52,Other,Delhi,Xiaomi,Android,1.5,41.0,95.5,140,5.5,8029,5.0,0.1,802,Social Media
49,U00050,17,Other,Lucknow,Apple,iOS,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,801,Entertainment
50,U00051,31,Female,Ahmedabad,Nokia,Android,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,1833,Education
51,U00052,49,Other,Jaipur,OnePlus,Android,8.6,46.0,181.8,154,1.6,4264,7.5,0.4,1142,Social Media
52,U00053,21,Male,Delhi,Motorola,Android,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,1882,Education
53,U00054,51,Male,Lucknow,OnePlus,Android,5.4,15.8,115.7,115,3.2,2929,3.0,2.7,1772,Social Media
54,U00055,32,Other,Mumbai,Vivo,Android,5.8,27.5,30.0,193,4.0,948,5.6,4.6,122,Social Media
55,U00056,43,Other,Bangalore,Xiaomi,Android,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,1395,Work
56,U00057,25,Male,Bangalore,OnePlus,Android,5.6,38.0,296.5,40,1.5,799,1.0,2.4,1831,Work
57,U00058,16,Female,Pune,Nokia,Android,9.0,7.1,142.9,164,4.9,6088,2.1,1.9,686,Work
58,U00059,49,Male,Pune,Motorola,Android,3.4,17.0,235.4,52,2.8,7018,7.3,4.7,2000,Education
59,U00060,35,Male,Hyderabad,Xiaomi,Android,3.0,8.3,253.1,18,2.5,9494,3.1,4.6,479,Gaming
60,U00061,49,Male,Pune,Apple,iOS,4.5,1.9,54.5,197,4.3,3575,6.7,0.0,679,Entertainment
61,U00062,34,Female,Kolkata,Apple,iOS,3.5,20.6,134.0,73,5.6,2918,3.0,1.0,329,Entertainment
62,U00063,38,Other,Jaipur,Oppo,Android,1.3,9.0,119.7,36,2.0,5666,4.0,4.1,1605,Education
63,U00064,38,Female,Ahmedabad,OnePlus,Android,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,1005,Work
64,U00065,41,Female,Delhi,Realme,Android,2.5,9.3,111.0,69,0.6,2918,6.5,1.9,1699,Education
65,U00066,41,Female,Bangalore,Samsung,Android,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,782,Education
66,U00067,30,Female,Ahmedabad,Samsung,Android,1.7,10.4,74.0,64,2.5,468,4.9,4.1,1361,Work
67,U00068,43,Male,Kolkata,Google Pixel,Android,3.0,24.3,151.7,143,1.1,4443,6.3,0.3,546,Education
68,U00069,40,Female,Kolkata,Samsung,Android,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,209,Social Media
69,U00070,18,Male,Delhi,Oppo,Android,5.3,10.4,257.0,116,2.3,4368,7.6,4.2,1359,Gaming
70,U00071,24,Female,Delhi,Apple,iOS,11.2,14.7,241.5,158,1.4,563,2.3,3.5,1845,Work
71,U00072,51,Female,Lucknow,Oppo,Android,11.9,47.8,21.5,68,4.3,7945,2.3,3.8,1749,Social Media
72,U00073,23,Other,Kolkata,Motorola,Android,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,1406,Gaming
73,U00074,43,Other,Kolkata,Realme,Android,6.9,3.0,74.6,117,3.1,1883,5.2,1.8,108,Gaming
74,U00075,31,Male,Ahmedabad,Google Pixel,Android,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,1393,Work
75,U00076,56,Female,Delhi,Oppo,Android,6.1,20.7,23.2,117,1.6,3672,3.2,2.1,430,Gaming
76,U00077,51,Female,Ahmedabad,Samsung,Android,9.2,45.9,294.0,129,3.7,5449,1.0,3.8,1222,Entertainment
77,U00078,19,Other,Kolkata,Motorola,Android,6.0,42.2,193.0,101,3.1,4606,2.2,3.9,705,Entertainment
78,U00079,26,Other,Pune,Xiaomi,Android,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,1104,Social Media
79,U00080,28,Male,Chennai,Xiaomi,Android,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,195,Gaming
80,U00081,37,Other,Pune,OnePlus,Android,10.5,33.0,69.0,92,4.0,8284,1.3,4.1,781,Work
81,U00082,42,Other,Lucknow,Google Pixel,Android,1.8,9.2,107.6,19,3.5,4648,3.7,0.6,1691,Education
82,U00083,46,Other,Pune,Realme,Android,10.0,30.8,105.6,179,3.9,3003,4.9,2.4,472,Entertainment
83,U00084,52,Male,Jaipur,Samsung,Android,5.0,46.6,127.1,56,4.6,7151,4.1,2.2,554,Education
84,U00085,23,Female,Hyderabad,Samsung,Android,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,1355,Entertainment
85,U00086,25,Female,Hyderabad,Nokia,Android,5.0,26.4,216.9,78,4.0,3751,1.7,4.4,1249,Entertainment
86,U00087,39,Female,Ahmedabad,Nokia,Android,2.4,14.6,9.5,84,1.6,1401,3.6,2.0,1081,Education
87,U00088,43,Other,Lucknow,Vivo,Android,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,505,Social Media
88,U00089,39,Male,Jaipur,Samsung,Android,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,1767,Social Media
89,U00090,38,Male,Lucknow,Oppo,Android,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,1401,Gaming
90,U00091,46,Other,Lucknow,Motorola,Android,6.7,15.8,120.9,187,1.2,2427,6.4,2.5,1186,Gaming
91,U00092,33,Male,Jaipur,Vivo,Android,10.9,38.0,273.4,198,3.0,305,5.1,2.7,324,Education
92,U00093,51,Other,Delhi,Nokia,Android,10.5,28.4,182.7,86,1.2,1305,7.1,1.7,1479,Gaming
93,U00094,57,Other,Pune,Nokia,Android,10.8,39.2,28.6,126,4.0,526,4.7,1.2,1610,Entertainment
94,U00095,59,Male,Pune,Google Pixel,Android,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,1239,Entertainment
95,U00096,21,Other,Kolkata,Vivo,Android,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,1727,Gaming
96,U00097,17,Other,Hyderabad,Motorola,Android,11.8,35.2,111.2,140,0.7,856,7.0,2.0,1474,Entertainment
97,U00098,22,Male,Mumbai,Google Pixel,Android,8.0,12.9,82.9,113,3.9,2936,4.7,0.0,443,Work
98,U00099,25,Male,Bangalore,Apple,iOS,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,809,Entertainment
99,U00100,29,Female,Kolkata,Motorola,Android,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,990,Social Media
100,U00101,31,Female,Pune,Apple,iOS,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,431,Education
101,U00102,39,Male,Pune,Apple,iOS,8.4,46.3,175.6,180,5.6,3881,7.0,0.1,1254,Social Media
102,U00103,15,Other,Mumbai,Realme,Android,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,687,Work
103,U00104,21,Male,Delhi,Apple,iOS,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,1129,Entertainment
104,U00105,56,Male,Hyderabad,Motorola,Android,11.6,31.6,123.1,150,2.0,7124,6.7,3.4,1037,Entertainment
105,U00106,29,Female,Jaipur,Xiaomi,Android,4.8,8.4,253.0,62,5.9,1373,1.4,0.8,1216,Gaming
106,U00107,58,Female,Chennai,Xiaomi,Android,7.9,7.9,18.5,34,1.0,1875,3.5,0.4,1983,Social Media
107,U00108,40,Other,Chennai,Xiaomi,Android,5.5,42.8,50.0,142,3.6,8911,4.4,3.7,1226,Work
108,U00109,38,Other,Hyderabad,Realme,Android,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,767,Social Media
109,U00110,32,Other,Delhi,OnePlus,Android,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,1338,Work
110,U00111,28,Female,Hyderabad,Samsung,Android,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,1839,Education
111,U00112,57,Male,Jaipur,Nokia,Android,9.6,49.4,257.1,47,2.7,5899,6.0,2.5,414,Gaming
112,U00113,43,Female,Jaipur,Oppo,Android,1.2,20.5,244.1,13,3.0,4570,5.3,3.2,206,Social Media
113,U00114,54,Other,Hyderabad,Google Pixel,Android,8.0,24.5,85.7,163,1.5,2640,3.8,1.1,1580,Social Media
114,U00115,15,Other,Pune,Oppo,Android,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,448,Education
115,U00116,27,Male,Jaipur,Apple,iOS,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,392,Education
116,U00117,56,Male,Chennai,Realme,Android,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,1627,Entertainment
117,U00118,15,Other,Jaipur,Nokia,Android,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,1837,Education
118,U00119,19,Female,Chennai,Motorola,Android,7.2,16.0,163.5,191,1.9,6130,4.8,1.8,1202,Gaming
119,U00120,31,Other,Mumbai,Realme,Android,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,1936,Work
120,U00121,44,Other,Chennai,Nokia,Android,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,1350,Gaming
121,U00122,53,Male,Hyderabad,Google Pixel,Android,1.4,28.9,265.2,179,3.9,1032,4.5,2.1,254,Entertainment
122,U00123,46,Other,Mumbai,Samsung,Android,5.9,38.1,144.6,186,2.1,684,4.5,1.2,1562,Social Media
123,U00124,25,Other,Hyderabad,OnePlus,Android,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,1268,Entertainment
124,U00125,49,Male,Pune,Google Pixel,Android,10.1,9.4,69.5,125,0.7,5893,4.2,4.6,837,Social Media
125,U00126,23,Female,Pune,Oppo,Android,10.1,6.1,68.8,198,5.8,3598,1.6,3.9,1054,Work
126,U00127,24,Male,Delhi,Samsung,Android,6.1,9.0,240.6,126,1.0,1035,3.2,1.3,944,Gaming
127,U00128,21,Male,Mumbai,Oppo,Android,6.5,1.5,115.0,196,2.1,1824,1.8,1.8,727,Entertainment
128,U00129,39,Female,Delhi,Apple,iOS,4.8,22.6,205.0,71,5.3,5852,3.6,3.6,1574,Work
129,U00130,50,Female,Delhi,Motorola,Android,3.7,48.7,57.3,52,3.9,7916,2.7,2.1,905,Social Media
130,U00131,25,Other,Hyderabad,OnePlus,Android,5.2,37.5,218.5,23,3.1,3433,6.6,2.0,147,Education
131,U00132,21,Other,Lucknow,Vivo,Android,2.9,27.6,202.1,85,1.8,6866,3.3,4.2,1149,Entertainment
132,U00133,39,Female,Hyderabad,Google Pixel,Android,7.7,6.6,118.1,39,4.9,5299,7.9,2.5,1795,Social Media
133,U00134,48,Male,Chennai,Apple,iOS,5.0,22.5,98.8,143,2.1,708,7.6,2.9,1389,Social Media
134,U00135,18,Other,Lucknow,Apple,iOS,3.7,40.8,226.0,167,0.8,4554,0.9,4.2,411,Social Media
135,U00136,56,Male,Jaipur,Nokia,Android,4.4,11.9,30.3,68,5.7,716,2.6,0.3,715,Entertainment
136,U00137,43,Other,Lucknow,Samsung,Android,2.4,42.1,147.2,143,4.8,3847,5.6,4.4,1760,Work
137,U00138,59,Male,Ahmedabad,Xiaomi,Android,8.8,31.1,216.5,122,2.8,3840,4.1,3.4,267,Entertainment
138,U00139,33,Male,Ahmedabad,Apple,iOS,8.2,34.4,173.0,177,5.2,8751,0.7,3.0,850,Gaming
139,U00140,19,Male,Lucknow,Vivo,Android,4.1,14.3,134.6,193,4.9,977,6.2,0.2,512,Social Media
140,U00141,59,Female,Kolkata,Xiaomi,Android,1.5,5.3,286.9,83,4.8,151,6.9,0.4,1849,Gaming
141,U00142,49,Male,Jaipur,Nokia,Android,1.8,14.2,176.7,138,3.4,4034,8.0,2.5,1130,Education
142,U00143,53,Female,Bangalore,Xiaomi,Android,8.1,22.6,228.5,48,2.8,1175,5.0,2.2,176,Gaming
143,U00144,49,Other,Lucknow,Motorola,Android,11.7,42.6,218.5,150,5.6,6184,6.3,0.6,1980,Social Media
144,U00145,57,Other,Chennai,Motorola,Android,1.1,23.3,41.1,10,0.8,2170,4.1,2.6,1653,Social Media
145,U00146,45,Male,Mumbai,Vivo,Android,6.7,26.1,137.5,137,4.9,8216,5.6,1.3,306,Social Media
146,U00147,18,Male,Hyderabad,Apple,iOS,6.0,16.7,201.8,43,2.9,4640,5.2,4.6,1497,Entertainment
147,U00148,42,Male,Chennai,Google Pixel,Android,5.5,49.4,55.7,117,1.4,9032,2.0,4.5,332,Entertainment
148,U00149,39,Male,Hyderabad,Oppo,Android,3.1,9.3,165.3,199,2.6,8547,1.4,3.5,186,Social Media
149,U00150,60,Male,Pune,Samsung,Android,11.8,40.7,134.9,75,2.0,837,2.3,1.8,387,Education
150,U00151,16,Other,Chennai,Samsung,Android,7.9,6.8,69.8,38,2.8,5468,7.7,4.2,1304,Entertainment
151,U00152,51,Male,Delhi,Realme,Android,1.7,26.0,80.4,33,5.7,8873,4.0,1.3,1318,Social Media
152,U00153,50,Other,Delhi,Motorola,Android,3.8,15.6,264.9,183,0.9,4894,0.7,4.2,1740,Work
153,U00154,29,Female,Lucknow,Vivo,Android,3.9,19.0,64.4,106,1.0,9942,3.3,0.3,612,Social Media
154,U00155,51,Female,Lucknow,OnePlus,Android,7.3,44.2,211.4,80,0.5,6983,6.1,2.5,1150,Gaming
155,U00156,50,Other,Ahmedabad,Nokia,Android,5.4,15.1,40.6,130,5.6,3470,5.3,2.2,1047,Social Media
156,U00157,34,Other,Kolkata,OnePlus,Android,1.9,1.4,187.6,34,2.5,2706,0.9,4.4,287,Social Media
157,U00158,16,Other,Jaipur,Motorola,Android,11.5,41.2,274.4,122,4.8,206,3.1,1.2,1935,Education
158,U00159,35,Female,Hyderabad,Xiaomi,Android,7.9,33.3,50.0,90,5.8,8385,6.2,4.0,633,Work
159,U00160,39,Male,Pune,Oppo,Android,7.2,12.1,281.8,58,1.9,5116,7.6,4.5,1271,Social Media
160,U00161,38,Male,Jaipur,Nokia,Android,5.0,27.2,166.8,152,1.8,1111,0.7,4.0,578,Work
161,U00162,34,Other,Mumbai,Realme,Android,9.4,9.7,96.8,19,4.0,7564,3.2,2.1,1003,Work
162,U00163,58,Other,Mumbai,Apple,iOS,7.1,43.3,248.5,57,2.6,8474,2.0,0.9,160,Gaming
163,U00164,40,Other,Chennai,Vivo,Android,9.9,14.7,128.0,121,3.6,3870,5.2,3.8,258,Social Media
164,U00165,20,Female,Jaipur,Google Pixel,Android,9.0,6.0,137.9,49,0.7,8615,0.8,2.3,223,Education
165,U00166,29,Male,Chennai,Oppo,Android,10.1,33.3,168.3,40,2.5,8182,4.9,0.2,621,Gaming
166,U00167,29,Other,Chennai,Oppo,Android,8.1,37.9,218.4,93,4.0,7142,5.5,0.1,157,Gaming
167,U00168,33,Other,Ahmedabad,Google Pixel,Android,3.6,36.2,83.9,52,4.9,639,7.9,3.0,1480,Gaming
168,U00169,28,Other,Hyderabad,Samsung,Android,11.1,35.3,37.4,182,5.6,7845,3.3,2.2,1813,Social Media
169,U00170,28,Female,Jaipur,Samsung,Android,7.5,20.6,205.1,188,3.7,7816,3.4,3.0,952,Social Media
170,U00171,47,Male,Mumbai,Nokia,Android,8.7,25.7,196.5,14,5.3,2252,4.6,3.7,757,Education
171,U00172,39,Female,Chennai,Google Pixel,Android,12.0,32.2,35.9,16,4.1,1414,0.8,3.6,233,Entertainment
172,U00173,47,Male,Chennai,Samsung,Android,5.0,26.6,250.1,21,3.8,2485,7.6,0.6,1723,Social Media
173,U00174,19,Other,Mumbai,Xiaomi,Android,11.7,6.2,81.7,20,3.3,3667,6.1,4.2,722,Social Media
174,U00175,54,Male,Hyderabad,Google Pixel,Android,8.7,30.9,286.4,173,3.0,2456,6.8,2.3,1716,Social Media
175,U00176,44,Female,Ahmedabad,Nokia,Android,3.7,26.1,275.5,119,2.8,957,2.4,1.8,590,Work
176,U00177,52,Female,Lucknow,OnePlus,Android,2.2,18.7,121.5,132,1.1,1903,5.4,0.2,1804,Social Media
177,U00178,43,Male,Pune,Nokia,Android,5.4,21.2,244.2,140,3.3,8206,7.9,1.0,1178,Social Media
178,U00179,50,Male,Kolkata,OnePlus,Android,4.0,9.2,267.7,53,5.7,6357,0.7,1.2,1479,Work
179,U00180,30,Male,Mumbai,Realme,Android,5.8,15.2,116.0,10,2.5,1605,4.7,0.2,897,Entertainment
180,U00181,38,Other,Hyderabad,Samsung,Android,5.1,18.7,67.4,147,3.3,5150,6.5,0.7,408,Social Media
181,U00182,33,Female,Hyderabad,Realme,Android,4.3,44.9,64.7,176,5.2,3146,2.2,0.2,1484,Work
182,U00183,53,Female,Pune,Google Pixel,Android,4.9,6.5,199.6,181,5.1,7676,3.3,0.6,1150,Work
183,U00184,56,Male,Kolkata,OnePlus,Android,10.4,47.4,168.2,127,1.8,126,5.3,1.3,319,Social Media
184,U00185,58,Female,Pune,Oppo,Android,5.4,14.8,106.0,58,5.0,3633,1.7,4.6,703,Entertainment
185,U00186,31,Female,Lucknow,Apple,iOS,11.8,35.5,132.0,91,4.4,4462,0.8,2.8,858,Entertainment
186,U00187,42,Female,Mumbai,Realme,Android,10.2,21.4,296.3,175,1.1,2252,3.4,1.1,716,Work
187,U00188,48,Female,Chennai,Google Pixel,Android,9.4,35.8,256.5,160,1.6,8873,5.1,1.6,882,Work
188,U00189,51,Female,Delhi,Nokia,Android,6.1,46.3,38.1,89,2.1,6856,5.3,0.9,1328,Entertainment
189,U00190,58,Female,Jaipur,Motorola,Android,4.5,7.3,126.7,174,2.6,8052,7.3,2.4,779,Gaming
190,U00191,32,Other,Hyderabad,Vivo,Android,1.6,9.1,122.1,120,3.7,2559,6.0,1.3,1557,Gaming
191,U00192,41,Female,Delhi,Samsung,Android,4.6,49.0,89.2,28,4.8,8197,6.9,4.4,1969,Social Media
192,U00193,20,Male,Jaipur,Realme,Android,5.0,33.3,28.3,70,3.1,2828,3.7,2.1,418,Social Media
193,U00194,52,Other,Hyderabad,Nokia,Android,2.1,50.0,165.8,126,2.7,5500,6.4,3.9,739,Entertainment
194,U00195,53,Other,Mumbai,Google Pixel,Android,3.3,43.2,102.8,140,1.3,1248,3.5,0.0,846,Social Media
195,U00196,23,Male,Chennai,Xiaomi,Android,8.4,8.0,124.2,51,4.3,6406,3.1,0.1,953,Education
196,U00197,36,Male,Hyderabad,Google Pixel,Android,3.0,41.0,188.4,95,1.8,627,1.7,4.0,1407,Social Media
197,U00198,34,Female,Kolkata,Nokia,Android,3.9,43.6,296.2,193,0.8,2430,1.9,4.0,1128,Gaming
198,U00199,45,Other,Delhi,Apple,iOS,6.4,15.3,38.5,96,5.7,3191,7.9,4.6,1082,Social Media
199,U00200,49,Female,Ahmedabad,Realme,Android,8.4,28.8,62.6,16,0.7,3036,3.3,3.7,1184,Gaming
200,U00201,17,Other,Mumbai,OnePlus,Android,4.1,20.9,29.9,161,5.0,3385,7.8,2.3,1139,Education
201,U00202,33,Other,Delhi,Realme,Android,8.7,7.5,258.6,42,4.6,8676,3.0,1.9,366,Gaming
202,U00203,41,Other,Jaipur,OnePlus,Android,6.6,44.6,56.3,28,2.6,4031,1.5,0.3,395,Education
203,U00204,45,Other,Hyderabad,OnePlus,Android,3.9,3.6,154.3,183,5.6,3338,7.6,4.9,929,Gaming
204,U00205,25,Female,Delhi,Realme,Android,1.5,19.1,235.2,17,2.0,5411,7.5,4.6,1540,Education
205,U00206,60,Other,Delhi,Xiaomi,Android,7.9,32.2,238.0,65,2.2,4387,7.3,4.1,171,Entertainment
206,U00207,59,Other,Lucknow,Oppo,Android,7.2,1.0,147.4,93,3.6,3533,3.2,3.5,541,Work
207,U00208,23,Female,Bangalore,Xiaomi,Android,3.2,32.2,92.2,112,4.1,6328,1.9,2.0,252,Social Media
208,U00209,21,Male,Ahmedabad,Realme,Android,2.7,25.3,76.5,169,5.9,2312,4.0,1.8,185,Gaming
209,U00210,16,Male,Chennai,Oppo,Android,8.2,8.4,233.3,142,0.9,8059,1.2,4.6,1804,Work
210,U00211,15,Other,Kolkata,Vivo,Android,11.4,20.4,171.1,47,1.6,4815,7.8,4.2,535,Work
211,U00212,20,Female,Jaipur,Oppo,Android,9.3,10.9,103.8,144,3.5,4535,1.7,2.8,1130,Entertainment
212,U00213,37,Male,Hyderabad,Motorola,Android,9.7,26.3,94.1,31,3.8,9853,7.8,4.9,644,Social Media
213,U00214,18,Other,Bangalore,Google Pixel,Android,10.7,24.8,170.7,184,1.0,9616,2.0,3.8,1542,Work
214,U00215,33,Other,Delhi,Samsung,Android,8.3,46.6,28.4,175,0.6,9944,7.4,4.2,1390,Social Media
215,U00216,21,Male,Jaipur,Google Pixel,Android,12.0,18.0,211.5,113,3.1,1204,1.3,2.0,1766,Work
216,U00217,28,Other,Ahmedabad,Oppo,Android,10.1,23.4,209.2,78,5.7,5198,4.1,1.6,1712,Gaming
217,U00218,26,Female,Jaipur,Google Pixel,Android,5.5,8.5,207.8,132,1.4,2955,3.0,0.5,388,Entertainment
218,U00219,51,Other,Ahmedabad,Oppo,Android,5.4,49.1,106.7,126,1.3,187,5.2,0.7,1496,Entertainment
219,U00220,43,Other,Bangalore,Samsung,Android,4.8,22.0,23.9,187,3.7,8962,6.1,4.8,519,Social Media
220,U00221,37,Female,Ahmedabad,Xiaomi,Android,6.2,22.0,206.9,58,3.6,625,3.4,4.1,198,Entertainment
221,U00222,34,Female,Hyderabad,Vivo,Android,8.2,43.2,30.6,14,5.1,1312,6.5,3.9,1861,Work
222,U00223,45,Male,Pune,Vivo,Android,3.9,15.1,68.9,124,5.0,1599,4.5,1.7,1484,Gaming
223,U00224,26,Female,Lucknow,Oppo,Android,7.0,27.7,199.0,82,3.9,3790,5.4,3.2,1004,Entertainment
